STAY,"The Kid LAROI, Justin Bieber",neutral,https://www.youtube.com/watch?v=kTJczUoc26U,
우산,윤하 (YOUNHA),neutral,https://www.youtube.com/watch?v=kTVvtlfU-Ts,
WHAT A FEELING,성시경,neutral,https://www.youtube.com/watch?v=aJOdTRhFGIk,
나의 밤 나의 너,성시경,neutral,https://www.youtube.com/watch?v=iOkkMCsJHVM,
거리에서,성시경,neutral,https://www.youtube.com/watch?v=qx4xDFP2WDU,
이음새,성시경,neutral,https://www.youtube.com/watch?v=L9lduABo1ZU,
"바람, 그대",성시경,neutral,https://www.youtube.com/watch?v=2oQuoi9tP98,
Lonely Night,권진아,neutral,https://www.youtube.com/watch?v=3JJEAHst96w,
And we go,성시경,neutral,https://www.youtube.com/watch?v=DDUdCvbvfEo,
Square (2017),백예린 (Yerin Baek),neutral,https://www.youtube.com/watch?v=4iFP_wd6QU8,
낙하 (with 아이유),AKMU (악뮤),neutral,https://www.youtube.com/watch?v=EtiPbWzUY9o,
파도,새소년,neutral,https://www.youtube.com/watch?v=VJfGfB4-vP0,
눈,새소년,neutral,https://www.youtube.com/watch?v=vP4-JvABTK4,
긴 꿈,새소년,neutral,https://www.youtube.com/watch?v=tzL4A8hyXc8,
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,neutral,https://www.youtube.com/watch?v=EiVmQZwJhsA,
Like Strangers Do,AJ Mitchell,neutral,https://www.youtube.com/watch?v=MDSzV2Ymq2A,
Helpless,Cameron Dallas,neutral,https://www.youtube.com/watch?v=-09j9FlFj8g,
Nikes On,Healy,neutral,https://www.youtube.com/watch?v=P_W-CH198a4,
"make you mine (Möwe Remix) (Feat. Snøw, Powfu, Rxseboy)","Fudasca, MOWE",neutral,https://www.youtube.com/watch?v=x9bHZX8_DuI,
in the afternoon,Josef Salvat,neutral,https://www.youtube.com/watch?v=L5ogYY8Se5Y,
Easy,Jesper Jenset,neutral,https://www.youtube.com/watch?v=6VpMK7WZmrk,
If I Could Dance,Quinn Lewis,neutral,https://www.youtube.com/watch?v=UIU2fbsXqh8,
You're Gonna Live Forever in Me,John Mayer,neutral,https://www.youtube.com/watch?v=08Ndzf5-HxI,
Coffee,"Quinn XCII, Marc E. Bassy",neutral,https://www.youtube.com/watch?v=RIrAoM7gyLY,
07 Britney,Chelsea Collins,neutral,https://www.youtube.com/watch?v=JnxBSPBlzyE,
Backyard Boy,Claire Rosinkranz,neutral,https://www.youtube.com/watch?v=Mbj26vHDMII,
You Belong With Me,Taylor Swift,neutral,https://www.youtube.com/watch?v=VuNIsY6JdUw,
august,Taylor Swift,neutral,https://www.youtube.com/watch?v=nn_0zPAfyo8,
Fly away,권진아,neutral,https://www.youtube.com/watch?v=OARgsIKS8VU,
But Not For Me (Vocal Version),Chet Baker,neutral,https://www.youtube.com/watch?v=KBR8-2OrtT4&list=PLL-NbN8uTOiicYA9ZJKXb9b1Bhp6phnmL,
Time After Time (Vocal Version),Chet Baker,neutral,https://www.youtube.com/watch?v=nfk58XdlZJA&list=PLL-NbN8uTOiicYA9ZJKXb9b1Bhp6phnmL&index=2,
I Fall In Love Too Easily,Chet Baker,neutral,https://www.youtube.com/watch?v=_ZRJrAHprBM&list=PLL-NbN8uTOiicYA9ZJKXb9b1Bhp6phnmL&index=4,
There Will Never Be Another You (Vocal Version),Chet Baker,neutral,https://www.youtube.com/watch?v=rMX1LxBba9g&list=PLL-NbN8uTOiicYA9ZJKXb9b1Bhp6phnmL&index=5,
Poet And Peasant,I Salonisti,neutral,https://www.youtube.com/watch?v=3sh9wZjpKsE,
Brand New,Public Library Commute,neutral,https://www.youtube.com/watch?v=OsYJWLaq9UI,
A Thousand Years,Christina Perri,neutral,https://www.youtube.com/watch?v=rtOvBOTyX000,
Call Me Maybe,Carly Rae Jepsen,neutral,https://www.youtube.com/watch?v=fWNaR-rxAic,
Sugar,Maroon 5,neutral,https://www.youtube.com/watch?v=09R8_2nJtjg,
Cherry Wine,grentperez,neutral,https://www.youtube.com/watch?v=1o00J04ThXQ,
Stronger (What Doesn't Kill You),Kelly Clarkson,neutral,https://www.youtube.com/watch?v=Xn676-fLq7I,
World's Smallest Violin,AJR,neutral,https://www.youtube.com/watch?v=PEnJbjBuxnw,
Sober Up (feat. Rivers Cuomo),AJR,neutral,https://www.youtube.com/watch?v=DC_TrsY7U3A,
